Rank,Title,Rating,Genre,Members,Type,Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
196,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","74,003",Movie,1, Sentai Filmworks, Kinema Citrus, Web manga, 1 hr. 45 min.,Null,100
197,Mobile Suit Gundam: The Origin,8.34,"Action, Mecha, Military, Sci-Fi, Shounen, Space","56,282",OVA,6, NYAV Post, Sunrise, Manga, 1 hr. 11 min. ,Null,623
198,Doukyuusei (Movie),8.33,"Slice of Life, Romance, School, Shounen Ai","1,90,485",Movie,1, Aniplex of America, A-1 Pictures, Manga, 1 hr.,Null,"4,299"
199,Douluo Dalu: Xingdou Xian Ji Pian,8.33,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","2,739",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 20 min. ,Null,21
200,Evangelion: 2.0 You Can (Not) Advance,8.33,"Action, Sci-Fi, Psychological, Drama, Mecha","3,85,698",Movie,1, Funimation, Khara, Original, 1 hr. 52 min.,Null,"2,691"
151,Gintama°: Aizome Kaori-hen,8.41,"Comedy, Parody","65,374",OVA,2," None found, add some", Bandai Namco Pictures, Manga, 26 min. ,Null,117
152,Houseki no Kuni (TV),8.41,"Action, Drama, Fantasy, Mystery, Seinen","3,39,565",TV,12, Sentai Filmworks, Orange, Manga, 24 min. ,Fall 2017,"9,408"
153,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,"Comedy, Psychological, Romance, School, Seinen","11,44,927",TV,12, Aniplex of America, A-1 Pictures, Manga, 25 min. ,Winter 2019,"25,443"
154,Non Non Biyori Nonstop,8.41,"Slice of Life, Comedy, Seinen","78,697",TV,12, Sentai Filmworks, SILVER LINK., Manga, 24 min. ,Winter 2021,581
155,Shingeki no Kyojin: Kuinaki Sentaku,8.41,"Action, Fantasy, Shoujo","3,80,486",OVA,2," None found, add some", Wit Studio, Visual novel, 27 min. ,Null,"1,516"
156,Usagi Drop,8.41,"Slice of Life, Josei","4,17,743",TV,11," NIS America, Inc.", Production I.G, Manga, 22 min. ,Summer 2011,"5,597"
157,Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Demons, Supernatural, Drama, Shoujo","35,485",Special,2," None found, add some", Shuka, Manga, 23 min. ,Null,59
158,Tensei shitara Slime Datta Ken 2nd Season,8.4,"Action, Adventure, Comedy, Demons, Magic, Fantasy","5,32,587",TV,12, Funimation, 8bit, Light novel, 23 min. ,Winter 2021,"7,275"
159,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.4,"Slice of Life, Drama, Fantasy","2,46,999",Movie,1, Funimation, Kyoto Animation, Light novel, 1 hr. 31 min.,Null,814
160,Baccano!,8.4,"Action, Comedy, Historical, Mystery, Supernatural","7,65,278",TV,13," Funimation, Aniplex of America", Brain's Base, Light novel, 24 min. ,Summer 2007,"21,217"
161,Barakamon,8.4,"Comedy, Slice of Life","5,45,460",TV,12, Funimation, Kinema Citrus, Web manga, 22 min. ,Summer 2014,"10,966"
162,Hunter x Hunter,8.4,"Action, Adventure, Super Power, Fantasy, Shounen","4,63,405",TV,62, VIZ Media, Nippon Animation, Manga, 23 min. ,Fall 1999,"8,494"
163,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space","2,96,786",Movie,1, Sony Pictures Entertainment, Bones, Original, 1 hr. 55 min.,Null,"1,083"
164,Kizumonogatari I: Tekketsu-hen,8.39,Vampire,"4,14,823",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 4 min.,Null,"2,723"
165,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,"Drama, Magic, Psychological, Thriller","1,72,195",Movie,1, Aniplex of America, Shaft, Original, 1 hr. 49 min.,Null,962
166,Mushoku Tensei: Isekai Ittara Honki Dasu,8.39,"Drama, Magic, Ecchi, Fantasy","6,12,203",TV,11, Funimation, Studio Bind, Light novel, 23 min. ,Winter 2021,"11,690"
167,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.38,"Slice of Life, Supernatural, Drama","13,05,924",TV,11," NIS America, Inc., Aniplex of America", A-1 Pictures, Original, 22 min. ,Spring 2011,"29,591"
168,Bakuman. 2nd Season,8.38,"Comedy, Drama, Romance, Shounen","3,05,519",TV,25, Media Blasters, J.C.Staff, Manga, 24 min. ,Fall 2011,"1,275"
169,Hellsing Ultimate,8.38,"Action, Military, Horror, Supernatural, Vampire, Seinen","7,35,640",OVA,10," Funimation, Geneon Entertainment USA"," Madhouse, Satelight, Graphinica", Manga, 50 min. ,Null,"17,271"
170,Kaze no Tani no Nausicaä,8.38,"Adventure, Fantasy","2,98,545",Movie,1," Walt Disney Studios, GKIDS", Topcraft, Manga, 1 hr. 57 min.,Null,"3,918"
171,Kingdom 3rd Season,8.38,"Action, Military, Historical, Seinen","48,760",TV,26, Funimation," Pierrot Plus, Studio Signpost", Manga, 25 min. ,Spring 2020,560
172,Kamisama Hajimemashita: Kako-hen,8.37,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","1,28,828",OVA,4," None found, add some", TMS Entertainment, Manga, 30 min. ,Null,769
173,Kingdom 2nd Season,8.37,"Action, Military, Historical, Seinen","86,796",TV,39, Funimation, Studio Pierrot, Manga, 25 min. ,Summer 2013,679
174,Kiseijuu: Sei no Kakuritsu,8.37,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen","14,20,367",TV,24, Sentai Filmworks, Madhouse, Manga, 23 min. ,Fall 2014,"27,055"
175,Tian Guan Ci Fu,8.37,"Action, Adventure, Historical, Supernatural, Drama","60,056",ONA,11," None found, add some", Haoliners Animation League, Novel, 25 min. ,Null,"1,948"
176,Psycho-Pass,8.36,"Action, Sci-Fi, Police, Psychological, Thriller","13,27,878",TV,22, Funimation, Production I.G, Original, 23 min. ,Fall 2012,"33,150"
177,Tenki no Ko,8.36,"Slice of Life, Drama, Romance, Fantasy","6,22,282",Movie,1, GKIDS, CoMix Wave Films, Original, 1 hr. 52 min.,Null,"8,378"
178,Uchuu Senkan Yamato 2199,8.36,"Action, Military, Sci-Fi, Space, Drama","97,310",OVA,26, Funimation," Xebec, AIC", Original, 25 min. ,Null,"1,521"
179,Haikyuu!!: To the Top,8.36,"Comedy, Sports, Drama, School, Shounen","6,12,449",TV,13," None found, add some", Production I.G, Manga, 24 min. ,Winter 2020,"3,809"
180,Mahou Shoujo Madoka★Magica,8.36,"Psychological, Drama, Magic, Thriller","10,47,245",TV,12, Aniplex of America, Shaft, Original, 24 min. ,Winter 2011,"44,624"
181,Major S6,8.36,"Comedy, Drama, Shounen, Sports","53,458",TV,25," None found, add some", SynergySP, Manga, 24 min. ,Spring 2010,422
182,Bakemonogatari,8.35,"Romance, Supernatural, Mystery, Vampire","11,64,986",TV,15, Aniplex of America, Shaft, Light novel, 24 min. ,Summer 2009,"42,346"
183,Given,8.35,"Drama, Music, Romance, Shounen Ai, Slice of Life","3,60,714",TV,11," None found, add some", Lerche, Manga, 22 min. ,Summer 2019,"11,512"
184,Hotarubi no Mori e,8.35,"Drama, Romance, Shoujo, Supernatural","6,40,917",Movie,1," None found, add some", Brain's Base, Manga, 45 min.,Null,"8,496"
185,Katanagatari,8.35,"Action, Adventure, Historical, Martial Arts, Romance","4,75,995",TV,12," NIS America, Inc.", White Fox, Light novel, 50 min. ,Winter 2010,"9,758"
186,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Slice of Life, Demons, Supernatural, Drama, Shoujo","66,911",OVA,1," None found, add some", Brain's Base, Manga, 23 min.,Null,92
187,One Outs,8.35,"Sports, Psychological, Seinen","1,95,991",TV,25," None found, add some", Madhouse, Manga, 23 min. ,Fall 2008,"3,380"
188,Ookami to Koushinryou II,8.35,"Adventure, Historical, Romance, Fantasy","4,18,166",TV,12, Funimation," Brain's Base, Marvy Jack", Light novel, 24 min. ,Summer 2009,"3,898"
189,Romeo no Aoi Sora,8.35,"Adventure, Drama, Historical, Slice of Life","40,069",TV,33," None found, add some", Nippon Animation, Novel, 23 min. ,Winter 1995,533
190,Sakamichi no Apollon,8.34,"Drama, Josei, Music, Romance, School","3,10,763",TV,12, Sentai Filmworks," Tezuka Productions, MAPPA", Manga, 22 min. ,Spring 2012,"5,998"
191,Versailles no Bara,8.34,"Military, Historical, Drama, Romance, Shoujo","74,509",TV,40," Nozomi Entertainment, Discotek Media", Tokyo Movie Shinsha, Manga, 24 min. ,Fall 1979,"2,297"
192,Boku dake ga Inai Machi,8.34,"Mystery, Psychological, Supernatural, Seinen","15,83,104",TV,12, Aniplex of America, A-1 Pictures, Manga, 23 min. ,Winter 2016,"38,457"
193,Gintama: Shiroyasha Koutan,8.34,"Action, Sci-Fi, Comedy, Historical, Parody","57,104",Special,1," None found, add some", Sunrise, Manga, 10 min.,Null,74
194,Kemono no Souja Erin,8.34,"Drama, Fantasy, Slice of Life","72,374",TV,50," None found, add some"," Production I.G, Trans Arts", Novel, 25 min. ,Winter 2009,"1,368"
195,Luo Xiao Hei Zhan Ji (Movie),8.34,"Adventure, Drama, Fantasy","10,878",Movie,1," None found, add some"," None found, add some", Original, 1 hr. 41 min.,Null,153
196,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","74,003",Movie,1, Sentai Filmworks, Kinema Citrus, Web manga, 1 hr. 45 min.,Null,100
197,Mobile Suit Gundam: The Origin,8.34,"Action, Mecha, Military, Sci-Fi, Shounen, Space","56,282",OVA,6, NYAV Post, Sunrise, Manga, 1 hr. 11 min. ,Null,623
198,Doukyuusei (Movie),8.33,"Slice of Life, Romance, School, Shounen Ai","1,90,485",Movie,1, Aniplex of America, A-1 Pictures, Manga, 1 hr.,Null,"4,299"
199,Douluo Dalu: Xingdou Xian Ji Pian,8.33,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","2,739",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 20 min. ,Null,21
200,Evangelion: 2.0 You Can (Not) Advance,8.33,"Action, Sci-Fi, Psychological, Drama, Mecha","3,85,698",Movie,1, Funimation, Khara, Original, 1 hr. 52 min.,Null,"2,691"
201,Fate/stay night: Unlimited Blade Works 2nd Season,8.33,"Action, Fantasy, Magic, Supernatural","6,78,227",TV,13, Aniplex of America, ufotable, Visual novel, 24 min. ,Spring 2015,"7,605"
202,K-On! Movie,8.33,"Music, Slice of Life, Comedy","2,62,186",Movie,1, Sentai Filmworks, Kyoto Animation, 4-koma manga, 1 hr. 50 min.,Null,"2,062"
203,Major: World Series,8.33,"Comedy, Drama, Shounen, Sports","31,339",OVA,2," None found, add some", SynergySP, Manga, 28 min. ,Null,88
204,Natsume Yuujinchou,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo","4,41,535",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Summer 2008,"13,392"
205,Natsume Yuujinchou Go Specials,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo","35,443",Special,2," None found, add some", Shuka, Manga, 23 min. ,Null,53
206,Neon Genesis Evangelion,8.33,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","13,20,825",TV,26," ADV Films, GKIDS, Netflix"," Gainax, Tatsunoko Production", Original, 24 min. ,Fall 1995,"74,984"
207,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.33,"Comedy, Supernatural, Drama, Romance, School","11,81,117",TV,13, Aniplex of America, CloverWorks, Light novel, 24 min. ,Fall 2018,"34,097"
208,Shinsekai yori,8.33,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural","6,59,334",TV,25, Sentai Filmworks, A-1 Pictures, Novel, 22 min. ,Fall 2012,"20,273"
209,Shirobako,8.33,"Comedy, Drama","3,75,564",TV,24, Sentai Filmworks, P.A. Works, Original, 24 min. ,Fall 2014,"5,823"
210,Wu Liuqi Zhi Xuanwu Guo Pian,8.33,"Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power","9,622",ONA,10," None found, add some"," None found, add some", Original, 16 min. ,Null,92
211,NHK ni Youkoso!,8.32,"Comedy, Psychological, Drama, Romance","5,89,638",TV,24," ADV Films, Funimation", Gonzo, Novel, 24 min. ,Summer 2006,"21,336"
212,Shelter,8.32,"Sci-Fi, Music","2,85,338",Music,1, Crunchyroll, A-1 Pictures, Music, 6 min.,Null,"2,265"
213,Steins;Gate: Oukoubakko no Poriomania,8.32,"Sci-Fi, Comedy","3,64,997",Special,1, Funimation, White Fox, Visual novel, 24 min.,Null,707
214,Dr. Stone,8.32,"Sci-Fi, Adventure, Comedy, Shounen","11,87,278",TV,24," Funimation, Crunchyroll", TMS Entertainment, Manga, 24 min. ,Summer 2019,"19,539"
215,Fate/Zero,8.32,"Action, Supernatural, Magic, Fantasy","12,09,908",TV,13, Aniplex of America, ufotable, Light novel, 28 min. ,Fall 2011,"29,677"
216,Great Pretender,8.32,"Action, Adventure, Mystery, Comedy, Psychological","4,01,339",TV,23," None found, add some", Wit Studio, Original, 23 min. ,Summer 2020,"6,254"
217,Hunter x Hunter: Original Video Animation,8.32,"Action, Adventure, Super Power, Shounen","1,07,828",OVA,8," None found, add some", Nippon Animation, Manga, 24 min. ,Null,331
218,Kino no Tabi: The Beautiful World,8.32,"Action, Adventure, Psychological, Slice of Life","2,44,720",TV,13," ADV Films, Sentai Filmworks", A.C.G.T., Light novel, 24 min. ,Spring 2003,"5,685"
219,Kuroko no Basket 3rd Season,8.32,"Comedy, Sports, School, Shounen","5,75,684",TV,25," None found, add some", Production I.G, Manga, 24 min. ,Winter 2015,"4,241"
220,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life","2,76,752",TV,26, Funimation, Madhouse, Manga, 25 min. ,Fall 2004,"6,996"
221,Diamond no Ace: Second Season,8.31,"Comedy, Sports, School, Shounen","1,10,081",TV,51," None found, add some"," Production I.G, Madhouse", Manga, 24 min. ,Spring 2015,900
222,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,"Slice of Life, Drama, Fantasy","2,17,686",Special,1," None found, add some", Kyoto Animation, Light novel, 34 min.,Null,485
223,Nodame Cantabile,8.3,"Music, Slice of Life, Comedy, Drama, Romance, Josei","2,74,697",TV,23," None found, add some", J.C.Staff, Manga, 22 min. ,Winter 2007,"4,689"
224,Planetes,8.3,"Drama, Romance, Sci-Fi, Seinen, Space","2,07,908",TV,26, Bandai Entertainment, Sunrise, Manga, 25 min. ,Fall 2003,"3,468"
225,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen","4,12,490",TV,94," Media Blasters, Aniplex of America"," Gallop, Studio Deen", Manga, 25 min. ,Winter 1996,"8,806"
226,Stranger: Mukou Hadan,8.3,"Action, Adventure, Historical, Samurai","2,78,458",Movie,1," Funimation, Bandai Entertainment", Bones, Original, 1 hr. 43 min.,Null,"2,623"
227,Tsubasa: Tokyo Revelations,8.3,"Action, Adventure, Drama, Romance, Fantasy, Shounen","84,974",OVA,3, Funimation, Production I.G, Manga, 30 min. ,Null,795
228,Bakemono no Ko,8.3,"Adventure, Supernatural","3,36,036",Movie,1, Funimation, Studio Chizu, Original, 1 hr. 59 min.,Null,"2,640"
229,Detective Conan Movie 06: The Phantom of Baker Street,8.3,"Adventure, Mystery, Police, Shounen","63,387",Movie,1, Funimation, TMS Entertainment, Manga, 1 hr. 47 min.,Null,189
230,Kawaki wo Ameku,8.3,Music,"20,238",Music,1," None found, add some"," None found, add some", Music, 4 min.,Null,181
231,Kono Subarashii Sekai ni Shukufuku wo! 2,8.3,"Adventure, Comedy, Parody, Supernatural, Fantasy","11,38,724",TV,10, Discotek Media, Studio Deen, Light novel, 23 min. ,Winter 2017,"10,307"
232,Hibike! Euphonium 2,8.29,"Music, Drama, School","1,79,864",TV,13, Ponycan USA, Kyoto Animation, Novel, 23 min. ,Fall 2016,"2,698"
233,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports","2,61,103",TV,26," Funimation, Tokyopop"," Gallop, Studio Comet", Manga, 25 min. ,Spring 1998,"7,589"
234,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen","5,02,185",Movie,1, Manga Entertainment, Production I.G, Manga, 1 hr. 22 min.,Null,"10,009"
235,Redline,8.29,"Action, Sci-Fi, Cars, Sports","2,88,743",Movie,1, Anchor Bay Films, Madhouse, Original, 1 hr. 42 min.,Null,"4,153"
236,Tokyo Godfathers,8.29,"Comedy, Drama","2,17,555",Movie,1," Sony Pictures Entertainment, GKIDS", Madhouse, Original, 1 hr. 32 min.,Null,"1,723"
237,Quanzhi Gaoshou Specials,8.28,"Action, Game","86,226",ONA,3," None found, add some"," Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation", Novel, 27 min. ,Null,318
238,Stand By Me Doraemon 2,8.28,"Comedy, Kids, Sci-Fi, Seinen","7,989",Movie,1," None found, add some"," Shirogumi, Shin-Ei Animation", Manga, 1 hr. 35 min.,Null,51
239,Tenkuu no Shiro Laputa,8.28,"Adventure, Fantasy, Romance, Sci-Fi","3,71,840",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 2 hr. 4 min.,Null,"3,128"
240,Tonari no Totoro,8.28,"Adventure, Comedy, Supernatural","8,11,895",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 1 hr. 26 min.,Null,"6,200"
241,Ashita no Joe,8.28,"Action, Drama, Shounen, Slice of Life, Sports","64,643",TV,79," None found, add some", Mushi Production, Manga, 25 min. ,Spring 1970,"1,440"
242,Gin no Saji 2nd Season,8.28,"Comedy, School, Shounen, Slice of Life","1,26,557",TV,11, Aniplex of America, A-1 Pictures, Manga, 24 min. ,Winter 2014,593
243,Gintama: Shinyaku Benizakura-hen,8.28,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","34,566",Special,1," None found, add some", Sunrise, Manga, 11 min.,Null,41
244,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen","2,69,695",TV,26, Sentai Filmworks, Madhouse, Manga, 23 min. ,Fall 2007,"7,893"
245,Hajime no Ippo: Champion Road,8.28,"Comedy, Shounen, Sports","1,04,637",Special,1," Discotek Media, Geneon Entertainment USA", Madhouse, Manga, 1 hr. 30 min.,Null,174
246,Hunter x Hunter: Greed Island Final,8.28,"Action, Adventure, Super Power, Fantasy, Shounen","1,19,574",OVA,14," None found, add some", Nippon Animation, Manga, 24 min. ,Null,214
247,Douluo Dalu: Hanhai Qian Kun,8.27,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","2,407",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 21 min. ,Null,11
248,No Game No Life: Zero,8.27,"Game, Supernatural, Drama, Romance, Fantasy","6,78,375",Movie,1, Sentai Filmworks, Madhouse, Light novel, 1 hr. 46 min.,Null,"6,626"
249,Re:Zero kara Hajimeru Isekai Seikatsu,8.27,"Psychological, Drama, Thriller, Fantasy","16,94,335",TV,25, Funimation, White Fox, Light novel, 25 min. ,Spring 2016,"54,405"
250,Tokyo Revengers,8.27,"Action, Drama, School, Shounen, Supernatural","4,59,280",TV,9999," None found, add some", LIDENFILMS, Manga, 23 min.,Spring 2021,"7,205"
201,Fate/stay night: Unlimited Blade Works 2nd Season,8.33,"Action, Fantasy, Magic, Supernatural","6,78,227",TV,13, Aniplex of America, ufotable, Visual novel, 24 min. ,Spring 2015,"7,606"
202,K-On! Movie,8.33,"Music, Slice of Life, Comedy","2,62,186",Movie,1, Sentai Filmworks, Kyoto Animation, 4-koma manga, 1 hr. 50 min.,Null,"2,062"
203,Major: World Series,8.33,"Comedy, Drama, Shounen, Sports","31,339",OVA,2," None found, add some", SynergySP, Manga, 28 min. ,Null,88
204,Natsume Yuujinchou,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo","4,41,535",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Summer 2008,"13,392"
205,Natsume Yuujinchou Go Specials,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo","35,443",Special,2," None found, add some", Shuka, Manga, 23 min. ,Null,53
206,Neon Genesis Evangelion,8.33,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","13,20,825",TV,26," ADV Films, GKIDS, Netflix"," Gainax, Tatsunoko Production", Original, 24 min. ,Fall 1995,"74,984"
207,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.33,"Comedy, Supernatural, Drama, Romance, School","11,81,117",TV,13, Aniplex of America, CloverWorks, Light novel, 24 min. ,Fall 2018,"34,097"
208,Shinsekai yori,8.33,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural","6,59,334",TV,25, Sentai Filmworks, A-1 Pictures, Novel, 22 min. ,Fall 2012,"20,273"
209,Shirobako,8.33,"Comedy, Drama","3,75,591",TV,24, Sentai Filmworks, P.A. Works, Original, 24 min. ,Fall 2014,"5,823"
210,Wu Liuqi Zhi Xuanwu Guo Pian,8.33,"Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power","9,622",ONA,10," None found, add some"," None found, add some", Original, 16 min. ,Null,92
211,NHK ni Youkoso!,8.32,"Comedy, Psychological, Drama, Romance","5,89,638",TV,24," ADV Films, Funimation", Gonzo, Novel, 24 min. ,Summer 2006,"21,336"
212,Shelter,8.32,"Sci-Fi, Music","2,85,338",Music,1, Crunchyroll, A-1 Pictures, Music, 6 min.,Null,"2,265"
213,Steins;Gate: Oukoubakko no Poriomania,8.32,"Sci-Fi, Comedy","3,64,997",Special,1, Funimation, White Fox, Visual novel, 24 min.,Null,707
214,Dr. Stone,8.32,"Sci-Fi, Adventure, Comedy, Shounen","11,87,278",TV,24," Funimation, Crunchyroll", TMS Entertainment, Manga, 24 min. ,Summer 2019,"19,539"
215,Fate/Zero,8.32,"Action, Supernatural, Magic, Fantasy","12,09,908",TV,13, Aniplex of America, ufotable, Light novel, 28 min. ,Fall 2011,"29,677"
216,Great Pretender,8.32,"Action, Adventure, Mystery, Comedy, Psychological","4,01,339",TV,23," None found, add some", Wit Studio, Original, 23 min. ,Summer 2020,"6,254"
217,Hunter x Hunter: Original Video Animation,8.32,"Action, Adventure, Super Power, Shounen","1,07,828",OVA,8," None found, add some", Nippon Animation, Manga, 24 min. ,Null,331
218,Kino no Tabi: The Beautiful World,8.32,"Action, Adventure, Psychological, Slice of Life","2,44,720",TV,13," ADV Films, Sentai Filmworks", A.C.G.T., Light novel, 24 min. ,Spring 2003,"5,685"
219,Kuroko no Basket 3rd Season,8.32,"Comedy, Sports, School, Shounen","5,75,746",TV,25," None found, add some", Production I.G, Manga, 24 min. ,Winter 2015,"4,241"
220,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life","2,76,752",TV,26, Funimation, Madhouse, Manga, 25 min. ,Fall 2004,"6,996"
221,Diamond no Ace: Second Season,8.31,"Comedy, Sports, School, Shounen","1,10,081",TV,51," None found, add some"," Production I.G, Madhouse", Manga, 24 min. ,Spring 2015,900
222,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,"Slice of Life, Drama, Fantasy","2,17,686",Special,1," None found, add some", Kyoto Animation, Light novel, 34 min.,Null,485
223,Nodame Cantabile,8.3,"Music, Slice of Life, Comedy, Drama, Romance, Josei","2,74,697",TV,23," None found, add some", J.C.Staff, Manga, 22 min. ,Winter 2007,"4,689"
224,Planetes,8.3,"Drama, Romance, Sci-Fi, Seinen, Space","2,07,908",TV,26, Bandai Entertainment, Sunrise, Manga, 25 min. ,Fall 2003,"3,468"
225,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen","4,12,490",TV,94," Media Blasters, Aniplex of America"," Gallop, Studio Deen", Manga, 25 min. ,Winter 1996,"8,806"
226,Stranger: Mukou Hadan,8.3,"Action, Adventure, Historical, Samurai","2,78,458",Movie,1," Funimation, Bandai Entertainment", Bones, Original, 1 hr. 43 min.,Null,"2,623"
227,Tsubasa: Tokyo Revelations,8.3,"Action, Adventure, Drama, Romance, Fantasy, Shounen","84,974",OVA,3, Funimation, Production I.G, Manga, 30 min. ,Null,795
228,Bakemono no Ko,8.3,"Adventure, Supernatural","3,36,036",Movie,1, Funimation, Studio Chizu, Original, 1 hr. 59 min.,Null,"2,640"
229,Detective Conan Movie 06: The Phantom of Baker Street,8.3,"Adventure, Mystery, Police, Shounen","63,387",Movie,1, Funimation, TMS Entertainment, Manga, 1 hr. 47 min.,Null,189
230,Kawaki wo Ameku,8.3,Music,"20,238",Music,1," None found, add some"," None found, add some", Music, 4 min.,Null,181
231,Kono Subarashii Sekai ni Shukufuku wo! 2,8.3,"Adventure, Comedy, Parody, Supernatural, Fantasy","11,38,724",TV,10, Discotek Media, Studio Deen, Light novel, 23 min. ,Winter 2017,"10,307"
232,Hibike! Euphonium 2,8.29,"Music, Drama, School","1,79,864",TV,13, Ponycan USA, Kyoto Animation, Novel, 23 min. ,Fall 2016,"2,698"
233,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports","2,61,137",TV,26," Funimation, Tokyopop"," Gallop, Studio Comet", Manga, 25 min. ,Spring 1998,"7,589"
234,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen","5,02,185",Movie,1, Manga Entertainment, Production I.G, Manga, 1 hr. 22 min.,Null,"10,009"
235,Redline,8.29,"Action, Sci-Fi, Cars, Sports","2,88,743",Movie,1, Anchor Bay Films, Madhouse, Original, 1 hr. 42 min.,Null,"4,153"
236,Tokyo Godfathers,8.29,"Comedy, Drama","2,17,555",Movie,1," Sony Pictures Entertainment, GKIDS", Madhouse, Original, 1 hr. 32 min.,Null,"1,723"
237,Quanzhi Gaoshou Specials,8.28,"Action, Game","86,226",ONA,3," None found, add some"," Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation", Novel, 27 min. ,Null,318
238,Stand By Me Doraemon 2,8.28,"Comedy, Kids, Sci-Fi, Seinen","7,989",Movie,1," None found, add some"," Shirogumi, Shin-Ei Animation", Manga, 1 hr. 35 min.,Null,51
239,Tenkuu no Shiro Laputa,8.28,"Adventure, Fantasy, Romance, Sci-Fi","3,71,840",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 2 hr. 4 min.,Null,"3,128"
240,Tonari no Totoro,8.28,"Adventure, Comedy, Supernatural","8,11,895",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 1 hr. 26 min.,Null,"6,200"
241,Ashita no Joe,8.28,"Action, Drama, Shounen, Slice of Life, Sports","64,651",TV,79," None found, add some", Mushi Production, Manga, 25 min. ,Spring 1970,"1,440"
242,Gin no Saji 2nd Season,8.28,"Comedy, School, Shounen, Slice of Life","1,26,564",TV,11, Aniplex of America, A-1 Pictures, Manga, 24 min. ,Winter 2014,593
243,Gintama: Shinyaku Benizakura-hen,8.28,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","34,566",Special,1," None found, add some", Sunrise, Manga, 11 min.,Null,41
244,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen","2,69,695",TV,26, Sentai Filmworks, Madhouse, Manga, 23 min. ,Fall 2007,"7,893"
245,Hajime no Ippo: Champion Road,8.28,"Comedy, Shounen, Sports","1,04,637",Special,1," Discotek Media, Geneon Entertainment USA", Madhouse, Manga, 1 hr. 30 min.,Null,174
